real             imag             q4r              q4i              q6r              q6i             
+0.9587034748959 -0.2844075372113 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2812500000000
+0.9551411683058 -0.2961508882436 +1.0000000000000 -0.2500000000000 +0.9687500000000 -0.2812500000000
+0.9514350209690 -0.3078496400415 +1.0000000000000 -0.2500000000000 +0.9375000000000 -0.3125000000000
+0.9475855910177 -0.3195020308160 +1.0000000000000 -0.3750000000000 +0.9375000000000 -0.3125000000000
+0.9435934581620 -0.3311063057599 +1.0000000000000 -0.3750000000000 +0.9375000000000 -0.3437500000000
+0.9394592236022 -0.3426607173120 +1.0000000000000 -0.3750000000000 +0.9375000000000 -0.3437500000000
+0.9351835099389 -0.3541635254205 +0.8750000000000 -0.3750000000000 +0.9375000000000 -0.3437500000000
+0.9307669610790 -0.3656129978048 +0.8750000000000 -0.3750000000000 +0.9375000000000 -0.3750000000000
+0.9262102421383 -0.3770074102164 +0.8750000000000 -0.3750000000000 +0.9375000000000 -0.3750000000000
+0.9215140393420 -0.3883450466988 +0.8750000000000 -0.3750000000000 +0.9062500000000 -0.3750000000000
+0.9166790599210 -0.3996241998456 +0.8750000000000 -0.3750000000000 +0.9062500000000 -0.4062500000000
+0.9117060320054 -0.4108431710579 +0.8750000000000 -0.3750000000000 +0.9062500000000 -0.4062500000000
+0.9065957045149 -0.4220002707998 +0.8750000000000 -0.3750000000000 +0.9062500000000 -0.4375000000000
+0.9013488470460 -0.4330938188532 +0.8750000000000 -0.3750000000000 +0.9062500000000 -0.4375000000000
+0.8959662497562 -0.4441221445704 +0.8750000000000 -0.5000000000000 +0.9062500000000 -0.4375000000000
+0.8904487232448 -0.4550835871263 +0.8750000000000 -0.5000000000000 +0.8750000000000 -0.4687500000000
+0.8847970984309 -0.4659764957680 +0.8750000000000 -0.5000000000000 +0.8750000000000 -0.4687500000000
+0.8790122264286 -0.4767992300633 +0.8750000000000 -0.5000000000000 +0.8750000000000 -0.4687500000000
+0.8730949784183 -0.4875501601484 +0.8750000000000 -0.5000000000000 +0.8750000000000 -0.5000000000000
+0.8670462455157 -0.4982276669728 +0.8750000000000 -0.5000000000000 +0.8750000000000 -0.5000000000000
+0.8608669386378 -0.5088301425431 +0.8750000000000 -0.5000000000000 +0.8750000000000 -0.5000000000000
+0.8545579883654 -0.5193559901656 +0.8750000000000 -0.5000000000000 +0.8437500000000 -0.5312500000000
+0.8481203448033 -0.5298036246863 +0.8750000000000 -0.5000000000000 +0.8437500000000 -0.5312500000000
+0.8415549774369 -0.5401714727299 +0.8750000000000 -0.5000000000000 +0.8437500000000 -0.5312500000000
+0.8348628749864 -0.5504579729366 +0.8750000000000 -0.5000000000000 +0.8437500000000 -0.5625000000000
+0.8280450452578 -0.5606615761973 +0.8750000000000 -0.5000000000000 +0.8125000000000 -0.5625000000000
+0.8211025149911 -0.5707807458870 +0.8750000000000 -0.6250000000000 +0.8125000000000 -0.5625000000000
+0.8140363297059 -0.5808139580958 +0.8750000000000 -0.6250000000000 +0.8125000000000 -0.5937500000000
+0.8068475535438 -0.5907597018589 +0.7500000000000 -0.6250000000000 +0.8125000000000 -0.5937500000000
+0.7995372691079 -0.6006164793839 +0.7500000000000 -0.6250000000000 +0.8125000000000 -0.5937500000000
+0.7921065773002 -0.6103828062763 +0.7500000000000 -0.6250000000000 +0.7812500000000 -0.6250000000000
+0.7845565971556 -0.6200572117633 +0.7500000000000 -0.6250000000000 +0.7812500000000 -0.6250000000000
+0.7768884656732 -0.6296382389149 +0.7500000000000 -0.6250000000000 +0.7812500000000 -0.6250000000000
