Nfa_float_q64_pw0    Nfa_float_q64_pw1    Nfa_float_q64_pw2    Nfa_float_q64_pw4    Nfa_float_q64_pw8    Nfa_int16_q64_pw0    Nfa_int16_q64_pw1    Nfa_int16_q64_pw2    Nfa_int16_q64_pw4    Nfa_int16_q64_pw8    Nmd_float_q64_pw0    Nmd_float_q64_pw1    Nmd_float_q64_pw2    Nmd_float_q64_pw4    Nmd_float_q64_pw8    Nmd_int16_q64_pw0    Nmd_int16_q64_pw1    Nmd_int16_q64_pw2    Nmd_int16_q64_pw4    Nmd_int16_q64_pw8    Pfa_float_q64_pw0    Pfa_float_q64_pw1    Pfa_float_q64_pw2    Pfa_float_q64_pw4    Pfa_float_q64_pw8    Pfa_int16_q64_pw0    Pfa_int16_q64_pw1    Pfa_int16_q64_pw2    Pfa_int16_q64_pw4    Pfa_int16_q64_pw8    Pmd_float_q64_pw0    Pmd_float_q64_pw1    Pmd_float_q64_pw2    Pmd_float_q64_pw4    Pmd_float_q64_pw8    Pmd_int16_q64_pw0    Pmd_int16_q64_pw1    Pmd_int16_q64_pw2    Pmd_int16_q64_pw4    Pmd_int16_q64_pw8    
803546               799603               660868               391007               423733               348973               627879               233016               116353               108748               0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0.3825458            0.3581413            0.1905509            0.0883153            0.0949379            0.0758938            0.1833874            0.0394804            0.0163525            0.0150277            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            
749392               737079               537571               289241               313978               256214               511947               184760               71279                65812                0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0.3076066            0.2844334            0.1367938            0.0593912            0.0635401            0.0502724            0.1321927            0.0210044            0.0092246            0.0084465            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000001            0.0000000            0.0000000            0.0000000            
673021               651928               417278               206398               223156               179703               399990               87992                41734                38573                0                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0.2403045            0.2192406            0.0950660            0.0387514            0.0412245            0.0323021            0.0921937            0.0122052            0.0050512            0.0045892            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000003            0.0000000            0.0000000            0.0000000            
578936               551992               311600               142448               153446               145636               300929               53434                23666                21760                0                    0                    0                    0                    0                    0                    11                   0                    0                    0                    0.1824109            0.1640414            0.0639060            0.0245066            0.0258799            0.0177385            0.0621008            0.0068618            0.0026846            0.0024132            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000014            0.0000000            0.0000000            0.0000000            
480764               450780               222861               94558                100876               71450                258646               31249                13046                11927                0                    0                    0                    0                    0                    0                    128                  0                    0                    0                    0.1343345            0.1189634            0.0416199            0.0150508            0.0157923            0.0105935            0.0362362            0.0037369            0.0013800            0.0012205            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000000            0.0000142            0.0000000            0.0000000            0.0000000            
383597               353568               153958               60700                64456                44643                135255               17376                6903                 6045                 0                    2                    0                    0                    0                    0                    534                  0                    0                    0                    0.0959748            0.0836066            0.0262241            0.0089808            0.0093467            0.0061292            0.0227107            0.0019993            0.0006897            0.0006160            0.0000000            0.0000002            0.0000000            0.0000000            0.0000000            0.0000000            0.0000676            0.0000000            0.0000000            0.0000000            
294762               266218               101366               37599                39889                26560                88891                9667                 3529                 3198                 0                    12                   0                    0                    0                    0                    1722                 0                    0                    0                    0.0664986            0.0569848            0.0160875            0.0052209            0.0053578            0.0034732            0.0138216            0.0010326            0.0003368            0.0002962            0.0000000            0.0000014            0.0000000            0.0000000            0.0000000            0.0000000            0.0002398            0.0000000            0.0000000            0.0000000            
217507               194092               65365                22779                23732                18503                56783                5168                 1737                 1552                 0                    73                   0                    0                    0                    0                    4737                 4                    0                    0                    0.0447479            0.0375756            0.0095510            0.0029430            0.0029846            0.0016229            0.0081433            0.0005158            0.0001631            0.0001410            0.0000000            0.0000087            0.0000000            0.0000000            0.0000000            0.0000000            0.0007135            0.0000004            0.0000000            0.0000000            
155744               135056               40277                13177                13666                7700                 34847                2636                 898                  617                  0                    262                  0                    0                    0                    0                    11144                11                   0                    0                    0.0291735            0.0240700            0.0055233            0.0016253            0.0016180            0.0008529            0.0046586            0.0002522            0.0000733            0.0000793            0.0000000            0.0000349            0.0000000            0.0000000            0.0000000            0.0000000            0.0018279            0.0000015            0.0000000            0.0000000            
107233               91468                24374                7591                 7655                 4170                 20816                1297                 406                  438                  0                    1022                 0                    0                    0                    0                    22415                8                    0                    0                    0.0184502            0.0149232            0.0030859            0.0008662            0.0008525            0.0004359            0.0025770            0.0001225            0.0000327            0.0000355            0.0000000            0.0001371            0.0000000            0.0000000            0.0000000            0.0000000            0.0040694            0.0000023            0.0000000            0.0000000            
