Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                0                0                3848             29535            64572            13298            46143            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0012477        0.0125349        0.0267203        0.0046060        0.0223759        
0                0                0                0                0                5412             36918            80680            17927            55536            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0017889        0.0162267        0.0347883        0.0063987        0.0279295        
0                0                0                0                0                7401             45306            99656            23566            66785            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0025290        0.0207573        0.0447539        0.0087553        0.0346080        
0                0                0                0                0                9741             56025            120211           30856            79198            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0035031        0.0263598        0.0567750        0.0118409        0.0425278        
0                0                0                0                0                13019            67839            144682           39328            92638            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0048050        0.0331437        0.0712432        0.0157737        0.0517916        
0                0                0                0                0                16954            80899            168916           49659            108100           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0065004        0.0412336        0.0881348        0.0207396        0.0626016        
0                0                0                0                0                22221            96363            196345           62392            123910           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0087225        0.0508699        0.1077693        0.0269788        0.0749926        
0                0                0                0                0                28468            113430           225614           77094            140874           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0115693        0.0622129        0.1303307        0.0346882        0.0890800        
0                0                0                0                0                36067            130881           255862           93183            159891           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0151760        0.0753010        0.1559169        0.0440065        0.1050691        
0                0                0                0                0                45509            150408           285221           112614           177787           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0197269        0.0903418        0.1844390        0.0552679        0.1228478        
0                0                0                0                0                56073            171227           314845           133142           198600           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0253342        0.1074645        0.2159235        0.0685821        0.1427078        
0                0                0                0                0                67968            192936           343330           156686           217039           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0321310        0.1267581        0.2502565        0.0842507        0.1644117        
0                0                0                0                0                82436            214877           368428           181122           237292           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0403746        0.1482458        0.2870993        0.1023629        0.1881409        
0                0                0                0                0                98403            238059           390906           207452           256718           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0502149        0.1720517        0.3261899        0.1231081        0.2138127        
0                0                0                0                0                116438           259649           410768           234235           274567           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0618587        0.1980166        0.3672667        0.1465316        0.2412694        
0                0                0                0                0                136225           282063           424416           260835           291825           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0754812        0.2262229        0.4097083        0.1726151        0.2704519        
0                0                0                0                0                157101           301282           433500           288139           307994           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0911913        0.2563511        0.4530583        0.2014290        0.3012513        
0                0                0                0                0                179753           319831           437685           314293           321560           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1091666        0.2883342        0.4968268        0.2328583        0.3334073        
0                0                0                0                0                202674           336519           436298           337487           333077           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1294340        0.3219861        0.5404566        0.2666070        0.3667150        
0                0                0                0                0                227756           351204           431343           360927           342257           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1522096        0.3571065        0.5835909        0.3026997        0.4009407        
0                0                0                0                0                250419           362200           419577           379046           349784           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1772515        0.3933265        0.6255486        0.3406043        0.4359191        
0                0                0                0                0                275270           371863           404789           395151           354285           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2047785        0.4305128        0.6660275        0.3801194        0.4713476        
0                0                0                0                0                297574           375619           384894           407283           354902           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2345359        0.4680747        0.7045169        0.4208477        0.5068378        
0                0                0                0                0                319877           377473           361150           414624           353978           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2665236        0.5058220        0.7406319        0.4623101        0.5422356        
