edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
17.41            0                0                0                0                0                227807           370545           393204           401481           35431            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1456302        0.3640429        0.4192611        0.4456320        0.9902631        
17.71            0                0                0                0                0                253699           381322           399515           405496           26962            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1710001        0.4021751        0.4592126        0.4861816        0.9929593        
18.01            0                0                0                0                0                279359           390704           403140           404652           20159            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1989360        0.4412455        0.4995266        0.5266468        0.9949752        
18.32            0                0                0                0                0                304213           394215           401183           401570           14828            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2293573        0.4806670        0.5396449        0.5668038        0.9964580        
18.62            0                0                0                0                0                327962           395831           397058           393615           10643            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2621535        0.5202501        0.5793507        0.6061653        0.9975223        
18.92            0                0                0                0                0                348762           391835           387623           382279           7743             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2970297        0.5594336        0.6181130        0.6443932        0.9982966        
19.23            0                0                0                0                0                368297           386600           375637           366755           5439             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3338594        0.5980936        0.6556767        0.6810687        0.9988405        
19.53            0                0                0                0                0                381646           375431           359932           349439           3832             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3720240        0.6356367        0.6916699        0.7160126        0.9992237        
19.83            0                0                0                0                0                394257           362636           341037           328800           2562             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4114497        0.6719003        0.7257736        0.7488926        0.9994799        
20.13            0                0                0                0                0                401205           345554           320252           306755           1799             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4515702        0.7064557        0.7577988        0.7795681        0.9996598        
20.44            0                0                0                0                0                405641           327073           298081           284258           1177             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4921343        0.7391630        0.7876069        0.8079939        0.9997775        
