Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                2                68               255              5371             3724             401              11361            0.0000000        0.0000000        0.0000000        0.0000000        0.0000048        0.0000709        0.0019529        0.0010893        0.0001007        0.0048037        
0                0                0                0                25               379              7104             5509             634              14466            0.0000000        0.0000000        0.0000000        0.0000000        0.0000023        0.0001088        0.0026633        0.0016402        0.0001641        0.0062503        
0                0                0                0                8                571              9492             7803             952              18040            0.0000000        0.0000000        0.0000000        0.0000000        0.0000015        0.0001659        0.0036125        0.0024205        0.0002593        0.0080543        
0                0                0                0                3                846              12233            11105            1473             22316            0.0000000        0.0000000        0.0000000        0.0000000        0.0000012        0.0002505        0.0048358        0.0035310        0.0004066        0.0102859        
0                0                0                0                6                1190             16058            15344            2187             27420            0.0000000        0.0000000        0.0000000        0.0000000        0.0000006        0.0003695        0.0064416        0.0050654        0.0006253        0.0130279        
0                0                0                0                3                1742             20127            20929            3129             33364            0.0000000        0.0000000        0.0000000        0.0000000        0.0000003        0.0005437        0.0084543        0.0071583        0.0009382        0.0163643        
0                0                0                0                2                2481             25506            28097            4444             40204            0.0000000        0.0000000        0.0000000        0.0000000        0.0000001        0.0007918        0.0110049        0.0099680        0.0013826        0.0203847        
0                0                0                0                0                3306             31508            36837            6255             47934            0.0000000        0.0000000        0.0000000        0.0000000        0.0000001        0.0011224        0.0141557        0.0136517        0.0020081        0.0251781        
0                0                0                0                0                4720             38729            47725            8700             56738            0.0000000        0.0000000        0.0000000        0.0000000        0.0000001        0.0015944        0.0180286        0.0184242        0.0028781        0.0308519        
0                0                0                0                1                6330             47357            61305            12162            66766            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0022274        0.0227643        0.0245547        0.0040943        0.0375285        
0                0                0                0                0                8687             57159            76542            16504            77900            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0030961        0.0284802        0.0322089        0.0057447        0.0453185        
0                0                0                0                0                11100            68730            94966            21997            89734            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0042061        0.0353532        0.0417055        0.0079444        0.0542919        
0                0                0                0                0                14669            81009            115323           29216            102941           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0056730        0.0434541        0.0532378        0.0108660        0.0645860        
0                0                0                0                0                19035            95263            138425           37785            117546           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0075765        0.0529804        0.0670803        0.0146445        0.0763406        
0                0                0                0                0                24254            109457           164873           47613            131760           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0100019        0.0639261        0.0835676        0.0194058        0.0895166        
