edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
18.13            0                0                0                0                0                248459           325993           351954           362379           17062            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.1778208        0.3370444        0.3979927        0.4309956        0.9957524        
18.45            0                0                0                0                0                271413           336638           358843           368153           12532            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2049621        0.3707082        0.4338770        0.4678109        0.9970056        
18.77            0                0                0                0                0                294076           345556           363295           369356           9192             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2343697        0.4052638        0.4702065        0.5047465        0.9979248        
19.08            0                0                0                0                0                314904           352431           364546           368336           6439             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2658601        0.4405069        0.5066611        0.5415801        0.9985687        
19.40            0                0                0                0                0                332669           355444           362856           361885           4534             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.2991270        0.4760513        0.5429467        0.5777686        0.9990221        
19.72            0                0                0                0                0                349063           356509           358941           355197           3137             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3340333        0.5117022        0.5788408        0.6132883        0.9993358        
20.04            0                0                0                0                0                363122           354675           351460           344881           2194             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.3703455        0.5471697        0.6139868        0.6477764        0.9995552        
20.35            0                0                0                0                0                374636           349234           340121           332463           1545             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4078091        0.5820931        0.6479989        0.6810227        0.9997097        
20.67            0                0                0                0                0                380473           342484           327852           316909           1001             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4458564        0.6163415        0.6807841        0.7127136        0.9998098        
20.99            0                0                0                0                0                384210           332642           313432           300795           677              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.4842774        0.6496057        0.7121273        0.7427931        0.9998775        
21.30            0                0                0                0                0                385175           321660           298414           282989           445              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5227949        0.6817717        0.7419687        0.7710920        0.9999220        
21.62            0                0                0                0                0                381425           307342           280636           263727           309              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5609374        0.7125059        0.7700323        0.7974647        0.9999529        
21.94            0                0                0                0                0                374901           291243           261959           244418           176              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.5984275        0.7416302        0.7962282        0.8219065        0.9999705        
22.25            0                0                0                0                0                364076           273821           242598           224678           110              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6348351        0.7690123        0.8204880        0.8443743        0.9999815        
22.57            0                0                0                0                0                352028           256128           222526           203747           73               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.6700379        0.7946251        0.8427406        0.8647490        0.9999888        
22.89            0                0                0                0                0                336701           238037           204132           184675           44               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7037080        0.8184288        0.8631538        0.8832165        0.9999932        
23.20            0                0                0                0                0                318950           219899           184022           166013           23               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7356030        0.8404187        0.8815560        0.8998178        0.9999955        
23.52            0                0                0                0                0                299819           201733           165056           147086           12               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7655849        0.8605920        0.8980616        0.9145264        0.9999967        
23.84            0                0                0                0                0                278847           182204           148541           130611           15               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7934696        0.8788124        0.9129157        0.9275875        0.9999982        
24.15            0                0                0                0                0                257473           164407           130316           114162           8                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8192169        0.8952531        0.9259473        0.9390037        0.9999990        
24.47            0                0                0                0                0                235576           147022           114624           99207            4                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8427745        0.9099553        0.9374097        0.9489244        0.9999994        
24.79            0                0                0                0                0                213922           131720           100574           86349            3                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8641667        0.9231273        0.9474671        0.9575593        0.9999997        
25.11            0                0                0                0                0                193538           116061           87280            72954            3                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8835205        0.9347334        0.9561951        0.9648547        1.0000000        
25.42            0                0                0                0                0                171985           101703           74915            62987            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9007190        0.9449037        0.9636866        0.9711534        1.0000000        
25.74            0                0                0                0                0                152345           88720            63629            52973            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9159535        0.9537757        0.9700495        0.9764507        1.0000000        
26.06            0                0                0                0                0                133858           76477            54131            44480            0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9293393        0.9614234        0.9754626        0.9808987        1.0000000        
