edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_LINF         
11.75            0                0                0                0                2902             18227            25022            388515           0.0000000        0.0000000        0.0000000        0.0000000        0.0011630        0.0096518        0.0135687        0.5764777        
12.00            0                0                0                0                3761             21994            29968            379966           0.0000000        0.0000000        0.0000000        0.0000000        0.0015391        0.0118512        0.0165655        0.6144743        
12.25            0                0                0                0                4851             25820            35404            367117           0.0000000        0.0000000        0.0000000        0.0000000        0.0020242        0.0144332        0.0201059        0.6511860        
12.50            0                0                0                0                6205             30373            41252            352251           0.0000000        0.0000000        0.0000000        0.0000000        0.0026447        0.0174705        0.0242311        0.6864111        
12.75            0                0                0                0                7833             36031            48073            334976           0.0000000        0.0000000        0.0000000        0.0000000        0.0034280        0.0210736        0.0290384        0.7199087        
13.00            0                0                0                0                9658             41626            54951            316349           0.0000000        0.0000000        0.0000000        0.0000000        0.0043938        0.0252362        0.0345335        0.7515436        
13.25            0                0                0                0                12226            48372            63657            296457           0.0000000        0.0000000        0.0000000        0.0000000        0.0056164        0.0300734        0.0408992        0.7811893        
13.50            0                0                0                0                15274            55891            72241            273236           0.0000000        0.0000000        0.0000000        0.0000000        0.0071438        0.0356625        0.0481233        0.8085129        
13.75            0                0                0                0                18421            62907            82157            249534           0.0000000        0.0000000        0.0000000        0.0000000        0.0089859        0.0419532        0.0563390        0.8334663        
14.00            0                0                0                0                22340            72231            92050            227602           0.0000000        0.0000000        0.0000000        0.0000000        0.0112199        0.0491763        0.0655440        0.8562265        
14.25            0                0                0                0                26789            81420            103191           205178           0.0000000        0.0000000        0.0000000        0.0000000        0.0138988        0.0573183        0.0758631        0.8767443        
14.50            0                0                0                0                32438            91459            113763           183083           0.0000000        0.0000000        0.0000000        0.0000000        0.0171426        0.0664642        0.0872394        0.8950526        
14.75            0                0                0                0                38213            101759           126599           161652           0.0000000        0.0000000        0.0000000        0.0000000        0.0209639        0.0766401        0.0998993        0.9112178        
15.00            0                0                0                0                44416            112711           139370           142761           0.0000000        0.0000000        0.0000000        0.0000000        0.0254055        0.0879112        0.1138363        0.9254939        
15.25            0                0                0                0                52820            123870           151742           124187           0.0000000        0.0000000        0.0000000        0.0000000        0.0306875        0.1002982        0.1290105        0.9379126        
15.50            0                0                0                0                61508            136022           165585           106888           0.0000000        0.0000000        0.0000000        0.0000000        0.0368383        0.1139004        0.1455690        0.9486014        
15.75            0                0                0                0                70472            148701           177425           91340            0.0000000        0.0000000        0.0000000        0.0000000        0.0438855        0.1287705        0.1633115        0.9577354        
16.00            0                0                0                0                80717            160834           190301           77597            0.0000000        0.0000000        0.0000000        0.0000000        0.0519572        0.1448539        0.1823416        0.9654951        
16.25            0                0                0                0                91864            173790           203304           65378            0.0000000        0.0000000        0.0000000        0.0000000        0.0611436        0.1622329        0.2026720        0.9720329        
16.50            0                0                0                0                104142           185372           215330           54669            0.0000000        0.0000000        0.0000000        0.0000000        0.0715578        0.1807701        0.2242050        0.9774998        
16.75            0                0                0                0                116348           198005           227521           45302            0.0000000        0.0000000        0.0000000        0.0000000        0.0831926        0.2005706        0.2469571        0.9820300        
17.00            0                0                0                0                130178           210365           238086           37076            0.0000000        0.0000000        0.0000000        0.0000000        0.0962104        0.2216071        0.2707657        0.9857376        
17.25            0                0                0                0                143460           221648           248964           30102            0.0000000        0.0000000        0.0000000        0.0000000        0.1105564        0.2437719        0.2956621        0.9887478        
17.50            0                0                0                0                158139           231223           258558           24556            0.0000000        0.0000000        0.0000000        0.0000000        0.1263703        0.2668942        0.3215179        0.9912034        
17.75            0                0                0                0                171733           241487           266937           19499            0.0000000        0.0000000        0.0000000        0.0000000        0.1435436        0.2910429        0.3482116        0.9931533        
18.00            0                0                0                0                186883           250452           273957           15530            0.0000000        0.0000000        0.0000000        0.0000000        0.1622319        0.3160881        0.3756073        0.9947063        
18.25            0                0                0                0                200714           259310           279957           12354            0.0000000        0.0000000        0.0000000        0.0000000        0.1823033        0.3420191        0.4036030        0.9959417        
18.50            0                0                0                0                214998           266203           283669           9754             0.0000000        0.0000000        0.0000000        0.0000000        0.2038031        0.3686394        0.4319699        0.9969171        
18.75            0                0                0                0                229004           270973           285315           7627             0.0000000        0.0000000        0.0000000        0.0000000        0.2267035        0.3957367        0.4605014        0.9976798        
19.00            0                0                0                0                242230           276822           287172           5805             0.0000000        0.0000000        0.0000000        0.0000000        0.2509265        0.4234189        0.4892186        0.9982603        
19.25            0                0                0                0                254928           279185           287393           4422             0.0000000        0.0000000        0.0000000        0.0000000        0.2764193        0.4513374        0.5179579        0.9987025        
